state,v1990,v2000,v2006,v2007,v2008,v2009
Alabama,5.5,6.851700492,7.7,8,7.7,7.7
Alaska,8,8.59188104,9.5,9.9,9.7,9
Arizona,7,8.377689959,9.2,9.2,9.2,9.3
Arkansas,4.5,5.660871072,6.2,6.5,6.3,6.1
California,8.1,9.530111884,10.4,10.5,10.8,10.7
Colorado,9,11.11875827,12.4,12.5,12.7,12.7
Connecticut,11,13.25321254,14.4,15.4,15.2,15.5
Delaware,7.7,9.431700275,10.5,10.4,10.8,11.4
District of Columbia,17.2,20.99704838,25.4,26,26.7,28
Florida,6.3,8.065629324,8.9,8.9,9,9
Georgia,6.4,8.297491402,9.2,9.5,9.7,9.9
Hawaii,7.1,8.417437509,9.8,9.9,9.9,9.9
Idaho,5.3,6.82078209,7.1,7.6,7.4,7.5
Illinois,7.5,9.542242212,10.8,11,11.2,11.7
Indiana,6.4,7.201283854,8,7.9,8.1,8.1
Iowa,5.2,6.526867019,7.4,7.5,7.3,7.4
Kansas,7,8.741264291,9.8,9.8,10.1,10.2
Kentucky,5.5,6.879202176,8.2,8,7.9,8.5
Louisiana,5.6,6.487806741,6.8,6.6,6.5,6.9
Maine,6.1,7.928331415,8.9,9.2,8.9,9.6
Maryland,10.9,13.44709556,15.7,15.7,15.4,16
Massachusetts,10.6,13.66027227,15.6,16,16.4,16.4
Michigan,6.4,8.067078547,9.2,9.5,9.4,9.4
Minnesota,6.3,8.307311624,9.6,10,10,10.3
Mississippi,5.1,5.847226513,6.1,6.4,6.8,7.1
Missouri,6.1,7.609110112,8.7,8.9,9.1,9.5
Montana,5.7,7.194253189,8.4,8.6,8.4,8.3
Nebraska,5.9,7.262327304,8.4,8.8,8.6,8.8
Nevada,5.2,6.090555773,7.2,7.5,7,7.6
New Hampshire,7.9,9.979526376,11.2,11.5,12,11.2
New Jersey,8.8,10.97946392,12.4,12.7,12.8,12.9
New Mexico,8.3,9.849920823,10.9,10.2,10.7,10.4
New York,9.9,11.79163448,13.3,13.5,13.8,14
North Carolina,5.4,7.167204808,8.3,8.6,8.6,8.8
North Dakota,4.5,5.455902689,6.5,6.4,6.6,6.7
Ohio,5.9,7.383907153,8.3,8.8,8.7,8.8
Oklahoma,6,6.794246298,7.2,7.6,7.2,7.4
Oregon,7,8.676773591,10,10.3,10.1,10.4
Pennsylvania,6.6,8.398550062,9.6,9.9,10,10.2
Rhode Island,7.8,9.738645182,11.3,11.8,11.3,11.7
South Carolina,5.4,6.877053632,7.9,8.2,8.5,8.4
South Dakota,4.9,5.997356433,7.2,7,7.3,7.3
Tennessee,5.4,6.788515026,7.5,7.6,8,7.9
Texas,6.5,7.630765108,8,8.2,8.3,8.5
Utah,6.8,8.264851923,9.4,9.1,9.4,9.1
Vermont,8.9,11.10797753,12.8,12.9,12.2,13.3
Virginia,9.1,11.57116548,13.2,13.7,13.8,14.1
Washington,7,9.316743248,10.7,10.8,10.9,11.1
West Virginia,4.8,5.942779599,6.6,6.6,6.7,6.7
Wisconsin,5.6,7.163801491,8.4,8.5,8.6,8.4
Wyoming,5.7,6.999870115,7.4,7.7,7.9,7.9